repo,stars,category,content_types,layout_pattern,content_unit,manifest_style,pack_manifest_file,multi_file_aux,versioning,license_location,discovery_pattern,notable_quirks
anthropics/skills,133000,skills,skill,by-type,dir-with-SKILL.md,frontmatter-yaml + plugin.json,.claude-plugin/marketplace.json,scripts-dir + references/assets + per-item LICENSE.txt,per-marketplace version,top-level-LICENSE,explicit-list-in-manifest,Marketplace lists skill paths explicitly; per-skill LICENSE.txt alongside SKILL.md
obra/superpowers,188000,skills,"skill, hook, agent, command",hybrid,dir-with-SKILL.md,frontmatter-yaml + plugin.json + marketplace.json,.claude-plugin/{plugin marketplace}.json,scripts-dir + sibling .md companions,semver in plugin.json,top-level-LICENSE,dir-convention,Ships parallel sidecar dirs for Cursor/Codex/OpenCode/Gemini; one source packaged 4 ways
simonw/claude-skills,922,skills,skill (archival),flat,zip archives + README links,none,none,none,none,top-level-LICENSE,filename-convention,Repo is historical archive of Anthropic /mnt/skills snapshots; no live skill files
SawyerHood/dev-browser,6081,skills,skill (+ daemon CLI),by-type,dir-with-SKILL.md,frontmatter-yaml + marketplace.json,.claude-plugin/marketplace.json,none (companion source is in /cli /daemon),semver in marketplace,top-level-LICENSE,explicit-list-in-manifest,Skill is thin wrapper; heavy lifting in sibling npm CLI
alirezarezvani/claude-skills,14500,skills,"skill, agent, command, mcp, hook, rule",hybrid by-topic and by-platform,dir-with-SKILL.md (nested),frontmatter-yaml + per-plugin plugin.json + top marketplace.json + tessl.json,.claude-plugin/marketplace.json,scripts-dir + references-dir + nested .claude-plugin/plugin.json,per-plugin semver,top-level-LICENSE,mixed,Nested plugins: each subdir has own .claude-plugin/plugin.json
travisvn/awesome-claude-skills,12400,skills,n/a (curated list),flat,external links,none,none,none,none,top-level-LICENSE,README list,Pure README — no skills hosted
BehiSecc/awesome-claude-skills,9000,skills,n/a (curated list),flat,external links,none,none,none,none,top-level-LICENSE,README list,Same pattern as travisvn (likely fork)
ComposioHQ/awesome-claude-skills,59000,skills,skill,flat,dir-with-SKILL.md,frontmatter-yaml,none observed at top,scripts-dir + per-skill LICENSE.txt,none observed,top-level-LICENSE,dir-convention + README list,Despite name 'awesome' actually hosts skills at top level with no manifest
Jeffallan/claude-skills,9000,skills,"skill, command",by-type,dir-with-SKILL.md,frontmatter-yaml + marketplace.json + plugin.json + version.json,.claude-plugin/{plugin marketplace}.json,references/ subdir (multiple .md),semver in plugin.json,top-level-LICENSE,dir-convention,Rich custom metadata under `metadata:` key
coleam00/second-brain-skills,720,skills,skill,by-platform,dir-with-SKILL.md,frontmatter-yaml,none,references-dir + scripts-dir + LICENSE.txt,none,top-level-LICENSE,dir-convention,No marketplace.json — pure folder drop-in for .claude/skills/
jezweb/claude-skills,776,skills,"skill, plugin-bundle",by-topic + by-platform,dir-with-SKILL.md,frontmatter-yaml,per-plugin manifests inside plugins/,scripts dir; assets in .claude/skills/artifacts,none observed,top-level-LICENSE,dir-convention,Splits delivered plugins/ from live working .claude/skills/
iannuttall/dotagents,683,skills,tool (CLI not content),n/a,n/a,package.json,package.json,none,npm semver,top-level-LICENSE,n/a,Meta-tool that manages AGENT/CLAUDE/SKILL.md files via symlinks
